="",="(1)",="",="(2)",="",="(3)",=""
="",="Two parents, married",="",="Two parents, married",="",="Two parents, married",=""
="",="Two parents, married",="",="Two parents, married",="",="Two parents, married",=""
="South Asian",="1.382***",="(0.137)",="1.312***",="(0.376)",="0.930*",="(0.378)"
="East Asian",="0.552***",="(0.084)",="0.505***",="(0.161)",="0.189",="(0.165)"
="Southeast Asian",="0.228***",="(0.077)",="0.175",="(0.130)",="-0.130",="(0.134)"
="Other Asian",="0.684***",="(0.094)",="0.334+",="(0.183)",="-0.003",="(0.187)"
="Mother age",="0.040***",="(0.001)",="0.040***",="(0.001)",="0.039***",="(0.001)"
="Survey year",="-0.005",="(0.004)",="-0.005",="(0.004)",="-0.004",="(0.004)"
="Northeast",="-0.085***",="(0.032)",="-0.087***",="(0.032)",="-0.104***",="(0.032)"
="South",="0.023",="(0.028)",="0.026",="(0.028)",="0.023",="(0.028)"
="West",="0.115***",="(0.031)",="0.119***",="(0.031)",="0.112***",="(0.031)"
="Less than high school",="-0.544***",="(0.047)",="-0.635***",="(0.049)",="-0.662***",="(0.049)"
="High school",="-0.209***",="(0.027)",="-0.227***",="(0.027)",="-0.234***",="(0.028)"
="BA+",="1.086***",="(0.027)",="1.107***",="(0.028)",="1.099***",="(0.028)"
="South Asian # Less than high school",="",="",="1.471",="(1.097)",="1.485",="(1.099)"
="South Asian # High school",="",="",="0.745",="(0.567)",="0.723",="(0.567)"
="South Asian # BA+",="",="",="-0.132",="(0.407)",="-0.168",="(0.408)"
="East Asian # Less than high school",="",="",="1.626***",="(0.550)",="1.552***",="(0.551)"
="East Asian # High school",="",="",="0.486+",="(0.254)",="0.454+",="(0.255)"
="East Asian # BA+",="",="",="-0.269",="(0.197)",="-0.252",="(0.198)"
="Southeast Asian # Less than high school",="",="",="0.500+",="(0.288)",="0.404",="(0.289)"
="Southeast Asian # High school",="",="",="0.468*",="(0.200)",="0.417*",="(0.201)"
="Southeast Asian # BA+",="",="",="-0.414*",="(0.183)",="-0.419*",="(0.184)"
="Other Asian # Less than high school",="",="",="1.496***",="(0.316)",="1.424***",="(0.317)"
="Other Asian # High school",="",="",="0.179",="(0.239)",="0.169",="(0.241)"
="Other Asian # BA+",="",="",="0.070",="(0.261)",="0.060",="(0.262)"
="Mother foreign born",="",="",="",="",="0.485***",="(0.050)"
="Constant",="9.428",="(7.950)",="8.745",="(7.960)",="7.948",="(7.966)"
="Observations",="54881",="",="54881",="",="54881",=""
="r2",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.01"
