="The first birth to women aged 18-49, NVSS 2015-2019"
="",="(1)",="",="(2)",="",="(3)",="",="(4)",=""
="",="Non-marital childbearing",="",="Non-marital childbearing",="",="Non-marital childbearing",="",="Non-marital childbearing",=""
="",="Non-marital childbearing",="",="Non-marital childbearing",="",="Non-marital childbearing",="",="Non-marital childbearing",=""
="East Asian",="0.113",="(0.069)",="1.588***",="(0.063)",="-0.036",="(0.089)",="1.272***",="(0.125)"
="Filipino/Vietnamese",="0.034",="(0.066)",="1.999***",="(0.062)",="0.164*",="(0.080)",="1.942***",="(0.108)"
="Other Asian",="0.287***",="(0.074)",="1.530***",="(0.066)",="0.459***",="(0.082)",="2.092***",="(0.105)"
="Less than high school degree or GED",="0.904***",="(0.127)",="0.578***",="(0.086)",="1.184***",="(0.308)",="-0.012",="(0.312)"
="High school degree or GED",="0.565***",="(0.091)",="0.510***",="(0.074)",="0.897***",="(0.144)",="-0.157",="(0.183)"
="BA degree or higher",="-1.291***",="(0.075)",="-1.963***",="(0.072)",="-1.874***",="(0.093)",="-1.740***",="(0.137)"
="East Asian # Less than high school degree or GED",="0.592***",="(0.155)",="0.250*",="(0.097)",="0.099",="(0.414)",="0.884*",="(0.437)"
="East Asian # High school degree or GED",="0.067",="(0.106)",="-0.025",="(0.083)",="-0.356*",="(0.180)",="0.403+",="(0.242)"
="East Asian # BA degree or higher",="0.124",="(0.084)",="0.458***",="(0.080)",="0.363**",="(0.111)",="0.124",="(0.163)"
="Filipino/Vietnamese # Less than high school degree or GED",="-0.082",="(0.147)",="-0.502***",="(0.104)",="-0.011",="(0.351)",="0.480",="(0.367)"
="Filipino/Vietnamese # High school degree or GED",="-0.247*",="(0.100)",="-0.498***",="(0.084)",="-0.305+",="(0.161)",="0.496*",="(0.208)"
="Filipino/Vietnamese # BA degree or higher",="0.502***",="(0.083)",="0.968***",="(0.082)",="0.490***",="(0.104)",="0.267+",="(0.150)"
="Other Asian # Less than high school degree or GED",="-0.025",="(0.150)",="-0.541***",="(0.099)",="0.150",="(0.352)",="0.494",="(0.347)"
="Other Asian # High school degree or GED",="-0.143",="(0.111)",="-0.363***",="(0.086)",="-0.337*",="(0.159)",="0.484*",="(0.194)"
="Other Asian # BA degree or higher",="0.170+",="(0.093)",="0.784***",="(0.087)",="0.313**",="(0.107)",="0.252+",="(0.148)"
="Mother age",="-0.060***",="(0.002)",="-0.057***",="(0.002)",="-0.109***",="(0.003)",="-0.146***",="(0.004)"
="year",="-0.058***",="(0.007)",="-0.014*",="(0.006)",="-0.001",="(0.009)",="-0.001",="(0.012)"
="Constant",="118.319***",="(13.302)",="26.522*",="(11.758)",="4.869",="(18.647)",="3.209",="(23.793)"
="Observations",="76023",="",="297311",="",="40731",="",="38740",=""
="r2",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
